,symptom,label
13,일단 저는 고등학생입니다어느날 두피가 간지러워서 봤더니 두피에 각질인지 비듬인지하얀게 있었는데요근데 오늘 머리를 깜고 바로 보니 두피를 비비거나 문지르면두피에 있는각질이 나오더라고요원인이나없애는 방법이 없을까요오늘은 두피에 뾰루지 난것도봤어요겨울이라 그런건가요 머리를 깜았는데도 더러워 보여요 어떡하죠,두피
14,안녕하세요 갑자기 두피랑 이마가 너무 가려워서 피부과를 갔다왔거든요 제가 올해 들어서 두피에 뾰루지같은게 많이 났는데 그걸 터뜨리고 긁는게 습관이 되서 딱쟁이가 생기면 뜯는걸 반복했었는데여 갑자기 이렇게 가려울 수 있나 싶을정도로 모기에 물린 것 마냥 가려워요ㅠㅠ 너무 간지럽고 괴롭네여 혹시 제가 두피를 계속 만져서 그 영향으로 두피가 가려운걸까요 피부과를 가야하는지 두피전문병원을 찾아가여하는지 모르겠어요 피부과에 가보긴했는데 알러지 약이랑 연고를 주시더라고여 탈모까지 이어질까봐 걱정되서 지식인에 올려봅니다 포ㅠㅠㅠㅠ 제대로 된 답변 부탁드려요 ㅠ,두피
15,숱이 많은 긴 반곱슬인데요다른애들처럼 묶고도 싶고 집게핀도 하고싶은데어떻게 묶어도 아래두피 옆두피 특히 정수리두피 부분이너무 심하게 당겨지는 느낌이라 아파서 못묶겠어요ㅜㅜ아래로 낮춰서 묶어도 아파서 최대한 안아프게끔 묶어도1시간도 못지나서 아파서 풀어버려요그냥 안묶고있으면 아플일없긴 한데머리 묶다가 실패하고나면 두피가 자극돼서인지30분정도는 두피가너무 아파요 고데기할때도 세게 안당겨지게 맨날 조심해야해요한번 잡아당겨지면 10분정도 아파서이거 그냥 두피가 이렇게 태어난건가요,두피
16,두피 에센스 어떤지 궁금해요 두피 에센스 써보려고 하는데 좋나요두피에 열감이 심해서 진정되는 두피 에센스 써보려는거에요주변에는 써본 친구들이 없어서 어떤거 사야하는지도 모르겠고아무거나 써보 두피에 자극이 안될지도 걱정이네요두피 에센스 괜찮은지 알려주세요,두피
17,두피에센스 이번에 사용해보고 싶은데 어떤게 좋을지 모르겠어요두피열도 내려주고 머 리도 덜빠지는 제 품 없을까요좋은 두피에센스 있다면 답변 좀 부타드릴게요,두피
18,안녕하세요 두피 상태는 민감성이라 시중에서 팔고있는 샴푸 아무거나 쓰면뽀루지가 바로 올라오더라고요 그래서 최근에 좋다고 하는 비싼 민감성 두피샴푸 사서 써봤는데그것도 별로 인거 같아요 특히나 버블이 잘 안생기고 개운한 느낌이 안드는데요ㅠ민감성 두피샴푸 중에서 사용감도 좋고 버블도 괜찮게 생기는거 없을까요민감성 두피샴푸로 좋은거 있으면 공유 좀 해주세요,두피
19,두피에 열이 오르면 두피가 따갑고 간지럽습니다 특히 매운 걸 먹을 때요 굳이 매운 걸 먹은 게 아니더라고 평소에는 아무렇지도 않은데 머리에 열 나면 두피가 갑자기 간지럽고 따가워집니다샴푸 문제인지 제 두피 타입에 맞는 샴푸를 써야 하는지 어떻게 해야 하나요,두피
20,제가 두피문신을 하려고 알아보고 있는데요부산두피문신 잘 하는 곳으로 추천 받아서 하려고 합니다그런데 제가 지금 영양제를 좀 많이 먹고 있는데두피문신 하는거랑은 크게 상관이 없을까요비타민D오메가3쏘팔메토유산균콘드로이친 정도 먹고 있는데두피문신 하는데 크게 문제 없겠죠,두피
21,두피가 가끔씩 되게 아픈데 왜그런걸까요ㅠ두피를 움직일때 특히 아프고 어떨 때는 오른쪽 어떨 때는 왼쪽  일정 부분이 아파요따갑다기보단 되게 욱신거리는 통증이 생기는데일단 저는 탈모없고 염색이나 머리에 뭘 따로 뿌리지도 않아요,두피
22,저는40대남성입니다언제부터인가 머리카락이 조금씩 빠지더니지금은 머리속이 훤합니다주변에서 두피문반영구를 권해주시더라고요두피에 반영구하면 티가 날까봐 걱정이 돼서망설여지고 있어요혹시 두피반영구 잘하는곳이나 두피반영구 하신분 계시면정보좀 부탁드려요,두피
23,안녕하세요 극한 지성두피에요ㅜ 머리 하루에 2번 감아도기름이 도는 지성두피인데 지성두피 샴푸를 따로 써야할까요가족들 사용하는 샴푸 같이 사용하고 있긴 한데지성두피 샴푸를 따로 구매해보려고 하거든요그거 쓰면 좀 나아지는건지 궁금해요그리고 머리를 자주 감아서 성분 좋은 샴푸 찾거든요지성두피 샴푸 어떤거 써야하는지 좋은거 있으면 정보 좀 부탁드립니다,두피
24,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
25,정수리 부분쪽이 점점 살이 없고 딱딱해지고 샴푸하다 보면 두피가 함몰된 부분이 느껴질정도로 두피에 살이 없는데 어떻게 해야 할까요,두피
26,제가 두피케어를 안해서 그런건지 모르겠는데하루에 빠지는 머리카락 수가 장난이 아니에요ㅠㅠ진짜 머리 감으면 두세덩이씩 빠지고이것도 나름 스트레스에요탈모가 안 오려면 두피를 케어해야된다던데제가 열심히 찾아보니깐 SNP 두피케어샴푸 괜찮아 보이더라고요혹시 SNP 두피케어샴푸 써보신분 계실까요두피케어샴푸 괜찮은지 알려주세요,두피
27,제가7년째고생중입니다 하루전날 두피긁어서 털고감아야 덜나와서 그렇게하는데요 피부과에서 샴푸도써보고 약도 써봣지만 효과가 없네요 피부과도 대충 들춰보고말구요두피팩 두피스케일링 두피클리닉 중 뭐가효과가 있나요  그리고 이 셋다 그냥 그때뿐인건가요,두피
28,두피에 오돌토돌하게 좁쌀이 만져져서 좁쌀을 떼면 종종 머리카락이 같이 딸려 나와요 이거 왜 이런거죠 머리도 맨날 손가락 끝으로 잘 마사지하면서 감고 건조도 두피는 완벽건조 아래 머리카락도 가능한 건조하는데도 이러네요 왜그런건가요 사진 첨부합니당,두피
29,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과 샴푸도 써봣어요 ㅠ 해드앤숄더 써보는중이구 두피팩도 해봣어요 어떻게해야하나요 자주감으면안젛나요 머리도 자주 떡지그 하루만에기름쟈서여,두피
30,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과 샴푸도 써봣어요 ㅠ 안긁고 감으면 일주일정도되면 비듬층이두꺼워져서 완전 많이 더 쌓여서 나와요 스케일링받아도그때뿐아닌가요,두피
31,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
32,안녕하세요 두피스케일링 받으려고 하니꾸준히 해야할거 같고 금액도 부담되서집에서 두피스케일링 처럼 할만한게 뭐가 있을까 찾게되었네요두피에 각질이 많아서 그러는데 홈케어로 두피스케일링은어떻게 할 수 있을까요 괜찮은게 있다면 알려주세요,두피
33,머리가 많이 빠져서 두피케어를 좀 해야 할 거 같아요ㅠㅠ머리덜빠지는 두피케어 방법 뭐 없을까요지금 천연샴푸 쓰고 있는데 그닥 효과도 없고냄새도 별로고ㅠㅠ머리덜빠지는 두피케어 방법 알려주세요ㅠㅠ,두피
34,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
35,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과 샴푸도 써봣어요 ㅠ 스케일링해도 게속해야하지안ㅍ나요,두피
36,요즘 많이 보이는 두피샴푸를 써봤거든요 근데 엄청 간지럽고 뾰루지 같은게 났어요ㅠㅠ저한테 두피샴푸 안 맞는걸까요전 두피샴푸를 쓰면 안 되는건가요,두피
37,며칠전에 피부과에서 지루성두피염을 판정 받았습니다 현재 두피에 바르는 연고와 먹는약을 처방받아 먹고 있는데 계속 머리가 가렵습니다지금도 혹시 이 상태로 일반 미용실에서 진행하는 두피클리닉 해도 될까요,두피
38,셀프로 두피케어 해줄까 하는데 어떻게해야할까요 비듬각질 너무 떨어져서스트레스 받아요 두피케어 셀프로 매일같이해주려고 하는데 어떻게 해야하나요두피케어 괜찮은 방법 있으면 알려주세요,두피
39,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과갈까요 아님 니조랄사서쓸까요,두피
40,혹시 두피에 여드름이 나면 모낭이 죽고 그곳에선 더이상 머리카락이 못 자라게 되나요제가 두피에 여드름이 꽤 나는 편인데 갑자기 궁금하기도 하고 무섭기도 하네요,두피
41,제 두피타입이 뭔지 궁금합니다ㅠ 평소에 하루에 1번씩 저녁에 감고 다음날 저녁이 되면 기름이 조금지고 1일 안감으면 기름이 집니다 또 두피에 열감이 많고 요새는 자주 간지러운 것 같습니다 비듬은 많은 편은 아니고 적당히 있고 크기도 작습니다 아주 가끔 뾰루지가 나고 평소에 두피가 따끔따끔한 느낌을 많이 받습니다두피도 조금 붉어요약간은 댕겨요 무슨 타입일까요 제 두피에 맞는 삼푸도 알고 싶습니다 제가 지금 스트레스때문에 탈모도 같이 있어서 병원에 갈려고 해도 시간이 안되어서 못 가네요ㅠ,두피
42,두피에 조금이라도 자극이 가면 가려워요 ex 바람때문에 머리가 날리거나 머리카락을 건들때 두피가 가려워서 빗질하면 시원하고 그나마 괜찮아 져요 일시적으로 머리카락이 빠지는 개수가 많아지고 있어요 여러 병원에 가봤는데 두피에는 뭐 나는것도 없고 깨끗하데요두피 신경이 문제인가요,두피
43,두피함몰  두피가려움  두피얇아짐이렇고 지금 머리가 엄청 맣이 빠졌어요두피를 만져보면 원래는 짱구였는데 지금은 엄청 울퉁불퉁 해졌습니다병원가서 검사를 받아 보고 싶은데 어디 병원으로 가는게 맞을까요,두피
44,광주두피문신 하려고 알아보고 있는데아무리 찾아도 다 비슷하고 어디가 좋은지 파악이 안되네요직접 내돈내산 해본분들 의견듣고 가는것도 좋을거 같아서광주두피문신 어디서 하셨는지 질문해봅니다광주두피문신 경험 많고 괜찮은데 있으면 알려주세요,두피
45,머리를 자를때 숱을 많이 치며 잘랐는데 가마부터 내려오는 머리 쪽에 두피가 살짝보이네요 머리카락이 많이 얇으면 정수리 밑쪽 두피가 보일 수 있나요,두피
46,안녕하세요 두피케어 샴푸 추천받아서 써보려고 합니다괜찮은 두피케어 샴푸 있으면 추천 해주세요두피 모공 깨끗하게 관리되는 두피케어 샴푸로알려주심 좋을거같아요,두피
47,탈 모로 고민중인 중년남자입니다 강 남쪽으로 smp두피문신을 알아보고있거든요요즘 핫하다고해서 ㅠㅠ 점점 빠져서 흑 채도 이젠부담스러운데 이런경우 smp두피문신 많이할까요조 언 부탁해요,두피
48,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
49,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 한번긁으면손톱에저렇게껴요,두피
50,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과 샴푸도 써봣어요 ㅠ 프레베이액도 핑크색 약 샴푸도 써봣어요 ㅜ스케일링은그때뿐인거같고 어떡하져,두피
51,두피는 지루성두피 같기도한데아침에 머리 열심히 감고 나가도 저녁에 기름져있는 근데 종종 다음날 점심까진 괜찮을때도 있어요그리고 두피에 뭐가 가끔 나고요 비듬도 있어요ㅠㅠ지루성 두피가 맞나요 여자구요 요즘 정수리나 앞 가르마쪽에 머리가 점점 비는 것 같은데 저같은 두피에 평소 생활습관 중 탈모 예방법이라던지순한 제품 좋은 것 좀 추천해주세요 ㅠ 광고는 걍 꺼지세요 무조건 안 살거임 직접 써보고 좋은거 추천부탁드려용,두피
52,원래 두피가 각질이 잘 생기고 예민한편입니다최근에 흰머리 때문에 염색되는 샴푸를 한달정도 사용했는데 두피 전체에 각질덩어리들이 말도 못하게 생겼어요징그럽기도 하고  너무 심해서 병원에 가보기 전에 나아질 수 있는 방법이 있나요,두피
53,두피쪽에 염증이 자꾸생기는데 지루성두피염인가요검사 받았는데 모낭충도 없었고 각질이나 비듬은 잘안생기고 냄새도 안나지만 두피가 가렵고 헤어라인쪽에 염증만 올라오는데 지루성두피염일수있나요 두피에 염증이 올라오는 질환이 지루성두피염말고 또 뭐가있나요,두피
54,두피에 특정 부위에만 동그랗게 빨개요간지러워서 긁었는데 빨간 가루가 나오길래 사진 찍어서 봤는데 거기만 빨갛더라구요 네이버에 쳐보니까 지루성 두피염인가 그것도 있었고 밍감한 두피 두피열 등 많았어요 뭐때문에 빨개지고 간지럽고 그런 건가요,두피
55,머리카락이 너무 간지러운데 그 머리카락 뒤에 두피에 예전에 지루성 두피염 그거 하고 또 옆에 머리 두피가 간지러운데 탈모인가요사진은 머리 옆 쪽 두피입니다 동그라미 친 대 탈모 인가여 ㅠㅠ 중2인데,두피
56,제 두피타입이 지루성민감성두피리 두피상태가 많이안좋은편인데 지루성민감성두피인데 지성용샴푸 사용해도괜찮을까요,두피
57,두피비듬이요 원형탈모 두피 뾰루지도 많앗는데 지금은 사라지고 두피에 비듬이 딱붙어잇어요 어떡하죠 좋은제품 다써봣는데요 ㅜㅜ 피부과가야할까여 두피에 비듬이 엄청많아요 하루에 한번 두피를 다 긁어서 털고 샴푸해요 그럼 담날또 생겨잇구요 긁어내야 그나마 그날 하루는 비듬이 머리에서 안나와요 어떡해야하나요하루라도안감으면 가렵구 기름져요 2일에한번 감습니다 엌지해야하나요 피부과를가야대나요ㅔ 하루긁어놔둬 다음날엔또생겨여 피부과 샴푸도 써봣어요 ㅠ 7년째에요,두피
58,겨울에 자꾸 두피각질이 일어나는대 원인이 뭔지 모르겠습니다,두피
59,지루성 두피염이 생겼어요두피 각질제거 잘해주는 게 중요하다는데어떻게 해야 하는 건가요두피 각질제거 해본적이 없어서두피염이 있는 약하고 아픈 두피 각질제거 방법을 좀 알려주세요,두피
60,두피 쪽이 뭔가 지글지글 끓는 느낌이네요 ㅠㅠ처음에는 그냥 가렵기만 했다가 저번에 사진 찍어서확인해보니까 두피가 너무 붉은거 있죠그래서 두피지루성피부염이 아닐까 의심하고 있는데이게 따로 관리가 되는 질환인지 궁금해요그래서 두피지루성피부염 관리법을 알아보고 싶은데어떻게 따로 알려주실 수 있을까요,두피
61,원래 저는 무릎 쪽에 건선을 좀 심하게 앓았고 지금도 앓고 있는데 얼마 전부터 두피에까지 건선 증상이 보이네요 두피에 생긴 건선 무작정 긁기만하고 아무런 예방이나 관리를 안 해져서 이렇게 심해진거 같거든요 두피에 생긴 건선 예방해줄 수 있는 방법이 있을까요,두피
62,두피보습제 좋은지 어떤지 궁금해서 질문합니다많이 두피가 건성이라 이번엔 꼭 해결보고 싶어서 찾아보고 있는데두피보습제라도 써보는게 좋을거 같다는 생각이 들어서요두피보습제도 있나요 아니면 두피팩으로 되나요두피보습제 같은거 있으면 알려주세요,두피
63,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
64,제가 두피열이 있는데요 두피에 열 내리는 법 좀 알려주세요,두피
65,안녕하세요지루성두피염과 건선 이 두개는 다른 질병인가요저는 머리가 떡지지도 기름지지도 않는 두피를 가지고 있어요이건 건선 아닌가용ㅠㅠ 씻고 나와서 얼굴이 건조하면 피부가쪼이듯이 두피도 건조해서 땡기는게 느껴져요 ㅠㅠ이 둘다 완치가 불가능하다고 하시더라고요정말 완치가 불가능 할까요피부과에서도 치료보다는 약 처방을 위주로 해주시네여 ㅜㅜㅜㅜ저는 치료가 필요합니다 ㅠㅠㅠ피부과를 옮겨 봐야 할까요두피땜에 넘 스트레스 받아여 ㅠㅠ전문가분의 도움이 필요해여,두피
66,현재 웰킨이라는 두피센터에 다니면서 두피 스케일링을 받고 있습니다 오늘도 스케일링을 받고 와서 쉬다가 오른쪽 뒤쪽 두피를 긁었는데 이상한 느낌이 나서 질문 남깁니다긁는데 소리도 서걱서걱이 아니라 뭔가 이상하고 제 두피를 긁는 느낌이 아닙니다 약간 두피아래에 물이 얇게 차 있는 느낌 누르니까 실제로도 약간 찌꺽하는 물소리가 나고 안에 있는 액체가 다른 곳으로 움직이는 느낌이 납니다 아픈거는 약간 거슬리는 정도입니다이는 어떤 병이거나 증상인가요 병원에 급하게 가봐야하는 증상인가요,두피
67,이마 두피 사이 사마귀 같은게 있네요얼굴 쪽 두피에 나타난 사마귀는 치료 후에예방을 어떻게 해야 하는지 너무 궁금해요ㅠㅠ두피사마귀 예방 관련 정보들이 필요해요,두피
68,제가 가끔씩 1개 정도 뾰루지가 두피에 나는데이유가 뭔가요,두피
69,한 2년 전부터 두피에 건선이 있었는데 이게 다를땐 그냥저냥 버틸만한데 겨울만 되면 두피에서비듬이랑 각질 엄청 떨어져서 진짜 미치겠네요 두피건선에 좋은 예방법이 있을까요 약은 꾸준히발라주고 있는데 별 차도가 없어요,두피
70,건조증상으로 두피가 갈라져서에요,두피
71,저의경우 지성 두피여서 오전 아침에 10분 두피마사지후 샴푸질 자기전 오후910시경 10분 두피마사지후 샴푸질 1일 2회 두피마사지 하고 있습니다 10분식1일에 두피 마사지 몇회가 적당 하나요아니면 그어떤 사정때문에 몇회던 샴푸질 할때마다 10분 두피마사지 해야 하는건지요요질문을 하는이유가 혹시나 두피마사지도 너무 지나치게 마니 하면 두피에 자극을 너무줘서탈모 예방하려다 오히려 탈모가 더오는건 아닐까 하는 궁금증에문의 드려봅니다검색에 이런 궁금증 검색을 해보니 없더라구요,두피
72,머리 자체가 너무 건조해요 자세히 보면 두피에 하얀 것들이 껴있고 간지럽다기보다 너무 건조해서 두피에 얇은 딱지라 해야하나 그런것도 뜯고 그랬는데 어떻게 해야 없앨 수 있을까요 샴푸도 추천해주세요 파티너스 뭐시기는 오지마세요,두피
73,귀뒤 두피가 빨갛게 변했고 그 위에 각질이 생겼어요ㅠ  처음에는 하얀게 자꾸 떨어져서 비듬인 줄 알았는데  아빠가 보더니 건선인 것 같다고 하더라고요  이거 치료할 수 있는 건가요  너무 가려워서 밤잠도 설쳐서 피곤하네요  두피 건선은 어떻게 치료하고 관리할까요ㅜㅜ  답변 부탁드릴게요,두피
74,제가 실리프팅이랑 슈링크를 같이 했는데 두피에다가도 슈링크를 하셨더라구요수면마취했음 그래서 그런지 이마쪽이랑 두피가 너무 땡겨요ㅠㅠ이거 다시 풀수있는 방법 없을까요,두피
75,지성두피여서 머리에 기름이 많이지기는 합니다 그래서 세정력이 높은 샴푸를 사용하려고 하는데 sls가 들어간 샴푸는 자극성이 높다고 그래서 사용이 꺼려집니다 지성두피에 경우에도 sls계면활성제가 들어간 샴푸를 매일 사용하는 건 문제가 있을까요,두피
76,제가 지루성두피염이 조금 있어요그리고 제가 매운걸 못먹는데 매운걸 먹으면 두피랑 얼굴에서 땀이 납니다 그리고 운동을 하면 두피가 뜨거워요 엄청 뜨겁진 않은데 땀 때문인가 두피열이 느껴져여씻고 나오면 두피열은 없어요 제가 두피열이 있는 편일까요,두피
77,안녕하세요  다름이 아니라 저가 피부도 예민하고 두피고 예민하고 그런데 두피에 각질이 생기고 쉽게 붉어지고 두피여드름이 생기고 그러는데 좀 괜찮은 샴푸 있으면 추천좀 부탁드립니다  샴푸는 그냥 아무거나 쓰고 있는데 바꿔야 할 거 같아서요  계속 두피가 안좋아지는 느낌이라서 부탁좀 드리겠습니다,두피
78,오늘 미용실에서 확인해보니 앞머리부분이 다른부위보다 좀 비어있어서 두피샴푸를 사용해야하는데 두피샴푸 어떤게 좋을까요종류가 많아서 뭘 사야할지 모르겠네요,두피
79,두피는 여드름에 긁으면 후끈후끈하고 가려운데 약간 건조하면서 조금 기름진데 모발은 빨리 기름진데 쿨링 샴푸를 사용하면 기름기는 사라지는데 두피가 많이 건조해져서 각질이 일어납니다제 두피는지성 건성 중건성 민감성 복합성 건복합성 지복합성 수부지 이중에 어떤건가요,두피
80,두피 건선인지 백선인지 진단하는 검사가 있나요 구체적인 검사를 통해서 한다던지 두피 건선인지 백선인지 판단이 안되서요 피부과랑 한의원 가봤는데 눈으로만 보고 두병원 진단이 달라서요 두피 건선백선을 정확히 판별할 수 있는 검사가 있는지 알려주세요 있다면 어느곳에서 할 수 있나요,두피
81,아침에 머리 감았는데 저녁에 머리 떡지는게 조금 느껴지면 지성 두피로 보면 되나요 두피에 열이 많아요,두피
82,몇년째 고생중입니다 두피만 뾰루지 여드름 너무많아요여러군데서 계속 새로 생기고 끊임없이요그러다가 터지면 사진처럼 각질이요 병원가봐도 항생제 두피에 뿌리는약 주는데전혀 소용이없내요 샴푸도 스트렝스샴푸 쓰는데소용이 없네요 뭐어떡해야하나요,두피
